Iteration,Start_CL,CL,Thrust(lbf),Error
0,1.0,1.0581028494264202,20.91877524518842,0.015162221350267499
1,1.0,1.0000040198635443,21.400559664265263,0.006639228483955782
2,1.0,1.058106198453955,20.918744016312033,0.015160471197008323
3,1.0,1.0000040198635443,21.400530950105892,0.006640590808431549
4,1.0,1.058106198453955,20.918744016312033,0.015160471197008323
5,1.0,1.0000040198635443,21.400530950105892,0.006640590808431549
6,1.0,1.058106198453955,20.918744016312033,0.015160471197008323
7,1.0,1.0000040198635443,21.400530950105892,0.006640590808431549
8,1.0,1.058106198453955,20.918744016312033,0.015160471197008323
9,1.0,1.0000040198635443,21.400530950105892,0.006640590808431549
10,1.0,1.058106198453955,20.918744016312033,0.015160471197008323
11,1.0,1.0000040198635443,21.400530950105892,0.006640590808431549
12,1.0,1.058106198453955,20.918744016312033,0.015160471197008323
13,1.0,1.0000040198635443,21.400530950105892,0.006640590808431549
14,1.0,1.058106198453955,20.918744016312033,0.015160471197008323
15,1.0,1.0000040198635443,21.400530950105892,0.006640590808431549
16,1.0,1.058106198453955,20.918744016312033,0.015160471197008323
17,1.0,1.0000040198635443,21.400530950105892,0.006640590808431549
18,1.0,1.058106198453955,20.918744016312033,0.015160471197008323
19,1.0,1.0000040198635443,21.400530950105892,0.006640590808431549
20,1.0,1.058106198453955,20.918744016312033,0.015160471197008323
21,1.0,1.0000040198635443,21.400530950105892,0.006640590808431549
22,1.0,1.058106198453955,20.918744016312033,0.015160471197008323
23,1.0,1.0000040198635443,21.400530950105892,0.006640590808431549
24,1.0,1.058106198453955,20.918744016312033,0.015160471197008323
25,1.0,1.0000040198635443,21.400530950105892,0.006640590808431549
26,1.0,1.058106198453955,20.918744016312033,0.015160471197008323
27,1.0,1.0000040198635443,21.400530950105892,0.006640590808431549
28,1.0,1.058106198453955,20.918744016312033,0.015160471197008323
29,1.0,1.0000040198635443,21.400530950105892,0.006640590808431549
30,1.0,1.058106198453955,20.918744016312033,0.015160471197008323
31,1.0,1.0000040198635443,21.400530950105892,0.006640590808431549
32,1.0,1.058106198453955,20.918744016312033,0.015160471197008323
33,1.0,1.0000040198635443,21.400530950105892,0.006640590808431549
34,1.0,1.058106198453955,20.918744016312033,0.015160471197008323
35,1.0,1.0000040198635443,21.400530950105892,0.006640590808431549
36,1.0,1.058106198453955,20.918744016312033,0.015160471197008323
37,1.0,1.0000040198635443,21.400530950105892,0.006640590808431549
38,1.0,1.058106198453955,20.918744016312033,0.015160471197008323
39,1.0,1.0000040198635443,21.400530950105892,0.006640590808431549
40,1.0,1.058106198453955,20.918744016312033,0.015160471197008323
41,1.0,1.0000040198635443,21.400530950105892,0.006640590808431549
42,1.0,1.058106198453955,20.918744016312033,0.015160471197008323
43,1.0,1.0000040198635443,21.400530950105892,0.006640590808431549
44,1.0,1.058106198453955,20.918744016312033,0.015160471197008323
